user_id,cf_tau2_mean,n,rank
965843,1161.3982126655892,3,211
568351,1157.4917747993816,3,212
32884,1136.6446910716259,3,213
269807,1130.8551940804523,2,214
587033,1126.2352211102282,3,215
943678,1123.8514767620104,4,216
477934,1116.351899384389,2,217
631189,1115.0235857981088,4,218
94346,1112.4651911851308,5,219
295372,1103.819368492692,3,220
556950,1100.806077057646,2,221
98904,1096.5936225470266,2,222
933219,1094.5816729487235,3,223
818396,1090.248092991149,2,224
355924,1086.7795503447412,5,225
784701,1082.3711482991253,2,226
917041,1067.989922918798,3,227
790510,1063.824604529312,3,228
414024,1051.5926233929222,5,229
894961,1051.4776875310993,7,230
344176,1048.3262438262136,3,231
42183,1044.3097641286993,2,232
253450,1041.5267644611495,3,233
886826,1039.3046726971945,2,234
252505,1039.27664520409,2,235
46701,1034.2355543062117,5,236
618534,1026.661113871656,3,237
615050,1025.4129811937858,2,238
158166,1025.389707893413,2,239
69941,1025.3869424708046,2,240
397755,1025.375140934899,2,241
323385,1025.375139695864,2,242
775187,1025.37503493315,2,243
964813,1025.3750329833058,2,244
497684,1025.3750305867627,2,245
782374,1018.9201522273286,4,246
762621,1012.0107704119446,7,247
128042,1006.8038991462936,3,248
93181,1005.7468740124532,4,249
101315,999.8518483082904,3,250
812587,992.1415644926665,3,251
814784,984.9370071042507,3,252
544038,984.5193491685072,4,253
501043,984.4456706999531,2,254
778674,976.7066932638913,2,255
380108,975.6975098907425,6,256
613760,974.8555561442091,2,257
941442,971.2461944617139,2,258
677799,969.4923828268361,3,259
312931,967.2670013011972,4,260
207184,965.1703949884051,2,261
250178,961.9486844801004,3,262
243081,956.8897254474904,3,263
854290,951.5719405197027,6,264
929953,949.462486026583,3,265
568443,945.1333889929139,2,266
193244,942.8279760105254,5,267
529063,940.6416032882705,2,268
767273,939.8589312598758,2,269
260509,939.4861841873812,4,270
767054,937.8146571639556,8,271
624347,935.7052633183011,3,272
940278,935.3786259634802,5,273
296658,932.9773406692975,3,274
488174,932.9491453198887,2,275
275617,932.4145538109658,2,276
540554,930.9481516401604,2,277
64134,930.2271702753528,2,278
194274,924.2087764496436,2,279
917169,924.1108825547224,2,280
217428,922.1280156062304,2,281
524285,921.9202780504769,5,282
879855,919.0179144796126,3,283
295371,913.0204144321198,8,284
941444,910.0883892112131,4,285
941570,907.1880335213265,3,286
647368,906.6074851593866,2,287
193114,906.487695915971,2,288
542875,900.3510700623194,2,289
287367,899.4777545688164,2,290
368488,898.8171240411007,2,291
124682,896.1643666481637,3,292
474317,894.9578651020349,4,293
786896,893.8183766598089,4,294
940192,891.5179658558045,2,295
518472,890.5038861239585,6,296
811300,889.4747433986888,5,297
681153,885.2833084426812,2,298
566027,882.5106998284903,2,299
898451,881.1627089598509,5,300
800969,880.8851515681569,3,301
894874,875.3751014005987,7,302
355706,873.2866013901796,8,303
886959,866.2800854633416,4,304
75663,861.7943513185318,6,305
