feature,f_score,rank,selected,vimp_cov,delta,abs_delta,sign,mean_early,mean_late,score_blend,blend_rank
golden,0.4513327238816084,171,0,0.005805777244977136,-0.0049871848421617375,0.0049871848421617375,-1,0.009865738782101193,0.004878553939939456,0.6679340937896071,64
at,2.230004616496878,92,0,0.0016369687314357318,-0.005192550325596037,0.005192550325596037,-1,0.017190838638864794,0.011998288313268757,0.6679340937896071,65
highly,11.756608523034368,20,1,0.007908593439383283,-0.0009301460661765883,0.0009301460661765883,-1,0.028329683613729284,0.027399537547552696,0.667934093789607,66
dress,9.764564727557907,30,0,0.001800218019971675,0.003137144697816297,0.003137144697816297,1,0.0032724658845519395,0.006409610582368237,0.6641318124207859,67
octane,0.0021733026289538406,255,0,0.020682088080365126,0.010698286555142784,0.010698286555142784,1,0.013108457660092533,0.023806744215235317,0.6628643852978454,68
woman,19.497339942763755,1,1,0.0012698352200812245,-0.0027545806986747634,0.0027545806986747634,-1,0.015088988078017555,0.012334407379342792,0.6603295310519646,69
mm,0.2859243640922633,194,0,0.005268981592982019,0.005814908727508997,0.005814908727508997,1,0.006309893765494511,0.012124802493003508,0.6577946768060836,70
john,1.557748682934189,116,0,0.00249099640451259,0.004596275965493543,0.004596275965493543,1,0.004845111316883836,0.00944138728237738,0.6489226869455006,71
hyper,0.003323863055344536,252,0,0.014654621691285044,0.008462215832242064,0.008462215832242064,1,0.008655538152115021,0.017117753984357085,0.6463878326996197,72
octane render,0.07809713079569089,225,0,0.005344296211058619,0.008682246606667334,0.008682246606667334,1,0.011968435330176394,0.020650681936843728,0.6400506970849177,73
of the,1.8501142065073715,107,0,0.0019156160422405314,-0.0046255579955489096,0.0046255579955489096,-1,0.01516520065204417,0.010539642656495261,0.6375158428390367,74
artwork,0.2429384674295213,203,0,0.005371533864529969,-0.005375223998351878,0.005375223998351878,-1,0.010464224950661538,0.005089000952309661,0.6362484157160964,75
sampler=8,1.1487769784172646,131,0,0.0011050170986267212,-0.01100000000000001,0.01100000000000001,-1,0.994,0.983,0.6349809885931559,76
shinkai and,0.7787594614339347,143,0,0.0032221285314932785,0.003954967380989232,0.003954967380989232,1,0.002490930761686986,0.006445898142676218,0.6299112801013942,77
sharp,14.104983659844567,12,1,0.0010853435257202003,0.0026726622448299993,0.0026726622448299993,1,0.018342866323984547,0.021015528568814546,0.6286438529784538,78
unreal,0.25368320221581636,202,0,0.0069381224607057545,0.004541629349835347,0.004541629349835347,1,0.012097149721426483,0.01663877907126183,0.6248415716096325,79
ilya,3.3654043183428937,71,0,0.001147079739583307,0.0038855893188057553,0.0038855893188057553,1,0.0037890431286521503,0.007674632447457906,0.6248415716096324,80
