feature,f_score,rank,selected
craig mullins,0.6199491136591713,309,0
hyper detailed,0.6151320451235489,310,0
small,0.6043064615075026,311,0
by greg,0.5989705184682816,312,0
anime,0.5906218245184499,313,0
atmospheric,0.5887123034305279,314,0
hopper,0.5763553537634578,315,0
unreal engine,0.533107468360407,316,0
cgsociety,0.5265832999691066,317,0
hyperrealism,0.5246953755026857,318,0
game,0.5140953739018143,319,0
trending,0.5091727326374894,320,0
tracing,0.5086979279336914,321,0
made,0.4926995469133944,322,0
god,0.47441686987515524,323,0
atmosphere,0.461917942564917,324,0
baarle ilya,0.45944616987939735,325,0
fantasy art,0.4576327850299649,326,0
ruan jia,0.4420618168768286,327,0
bright,0.4410599062509875,328,0
lois van,0.4309210211486038,329,0
lois,0.4309210211486038,330,0
baarle,0.4309210211486038,331,0
van baarle,0.4309210211486038,332,0
depth,0.42998638591557314,333,0
colors,0.4213700528922736,334,0
alien,0.4189461782697836,335,0
8k,0.4080769219890296,336,0
field,0.40623198258180376,337,0
joe,0.4050322749974431,338,0
inspired by,0.3933609222364083,339,0
hd,0.3781428023619154,340,0
faces,0.37674979126427016,341,0
moebius,0.37388480741960833,342,0
3d,0.3679536190536355,343,0
star,0.3677036543525282,344,0
ruan,0.364111904854918,345,0
jia,0.36411190485485456,346,0
like,0.35883061088273377,347,0
hyper realistic,0.35333113575621955,348,0
large,0.3523390356469144,349,0
gold,0.3515322889242828,350,0
sitting,0.34912231685057143,351,0
magical,0.3449874269608077,352,0
horror,0.34444474072801506,353,0
robot,0.3434308290721239,354,0
photograph of,0.340729715509724,355,0
volumetric lighting,0.34035978571545844,356,0
anthropomorphic,0.3379832382372149,357,0
contrast,0.33265435306181634,358,0
vibrant,0.3321246488528119,359,0
flowers,0.31457891108880426,360,0
smoke,0.29833390242830243,361,0
van,0.29769234546016093,362,0
oil on,0.29597380246869276,363,0
and intricate,0.2905364116401526,364,0
centered,0.2887715813370778,365,0
drawing,0.2879583905540635,366,0
canvas,0.2867048015587533,367,0
fi,0.27592546481678426,368,0
shot of,0.27117217070396865,369,0
cover,0.26474757533011206,370,0
detailed portrait,0.2572499306579369,371,0
movie,0.25343512600287016,372,0
environment,0.2518094294242168,373,0
light,0.24669888064081885,374,0
brown,0.24633718557661044,375,0
fire,0.24474765115541222,376,0
trending on,0.24274584898601997,377,0
art trending,0.24058993101903756,378,0
life,0.2386526882376287,379,0
shinkai and,0.2375338321652819,380,0
cute,0.23749545793055343,381,0
in style,0.23173535292296965,382,0
cinematic lighting,0.22790416765140442,383,0
ultra,0.22313779244362858,384,0
edward,0.21869886612971878,385,0
illustration by,0.21476492508924472,386,0
vivid,0.21209635282937447,387,0
movie still,0.2087786994409278,388,0
detailed intricate,0.2038722629230356,389,0
still of,0.19828378741710567,390,0
sunset,0.19721547720800575,391,0
engine,0.19560415062339764,392,0
high resolution,0.1893953254933134,393,0
very very,0.18607104920534914,394,0
high contrast,0.18183459771417596,395,0
cinematic,0.17989004904239214,396,0
super,0.17514412723879255,397,0
style of,0.1750947239157116,398,0
peter mohrbacher,0.17400387162813458,399,0
mohrbacher,0.17400387162811534,400,0
insanely,0.16791141411319885,401,0
glowing,0.16564716089568948,402,0
eye,0.16483857442387256,403,0
artwork,0.1579458477067491,404,0
black and,0.15278107696690033,405,0
real,0.1493998945060866,406,0
ultra realistic,0.14855581690210867,407,0
night,0.14781440346457528,408,0
jeremy,0.1430116295849175,409,0
the background,0.13539109805511698,410,0
vector,0.1332268514007325,411,0
high,0.12806073040830077,412,0
sci,0.12654897198278114,413,0
sci fi,0.12654897198278114,414,0
green,0.12233731944100343,415,0
dynamic lighting,0.11332522524329754,416,0
digital illustration,0.10506430577607162,417,0
award winning,0.10317007142865439,418,0
shaded,0.09846948143977265,419,0
wayne,0.09625984332297165,420,0
cartoon,0.09575205151293137,421,0
man,0.09477251530651959,422,0
painted,0.08979754595070816,423,0
playing,0.08129419792859155,424,0
lights,0.08043852028256761,425,0
ornate,0.07943622411106599,426,0
sculpture,0.07845698780035154,427,0
vintage,0.07817498197883667,428,0
dan,0.07767698756690655,429,0
clean,0.07725901430719515,430,0
and white,0.0750302977391361,431,0
water,0.07480354918122514,432,0
bokeh,0.07252617035268208,433,0
award,0.0717219015294388,434,0
grey,0.06874126839900392,435,0
from the,0.06799092777175346,436,0
red,0.06790601143617692,437,0
painting by,0.06635815029415813,438,0
pixar,0.06609380618203711,439,0
unreal,0.06457842445898344,440,0
professional,0.06351826798506023,441,0
natural,0.06251103496265674,442,0
into,0.061024760988357955,443,0
deep,0.05605565566006515,444,0
monster,0.05037548743943331,445,0
rhads,0.04957765158010483,446,0
paint,0.04732003244636807,447,0
moody,0.046938973438346264,448,0
cyberpunk,0.04622426712169432,449,0
scene,0.04438855949805229,450,0
artstation by,0.04429206745042173,451,0
thomas,0.04329712585012234,452,0
half,0.04280765497907697,453,0
japanese,0.042633565674610345,454,0
dramatic lighting,0.04137793252954517,455,0
on artstation,0.03620684913371468,456,0
extremely detailed,0.03615500056676623,457,0
station,0.03477684135149035,458,0
ultra detailed,0.03165597073780572,459,0
image,0.028761918079397528,460,0
realistic,0.0285897351438038,461,0
angle,0.028428520054028843,462,0
render,0.026149695248695405,463,0
global,0.025748724950248002,464,0
global illumination,0.025748724950246937,465,0
texture,0.025634222935469526,466,0
on the,0.023561454100360674,467,0
peter,0.023068040841569677,468,0
depth of,0.022680251575624186,469,0
golden,0.022272830714491817,470,0
resolution,0.022198263870662073,471,0
david,0.021515373613895734,472,0
surrounded,0.019808232184756917,473,0
still,0.01828881087008708,474,0
ratio,0.017648221153530357,475,0
art sharp,0.01568607156135605,476,0
closeup,0.014972820381884603,477,0
modern,0.014821422266201846,478,0
top,0.012907152556828796,479,0
low,0.012099199731221527,480,0
winning,0.010736717837148748,481,0
from,0.01070645526997839,482,0
and lois,0.010113429434553435,483,0
medium,0.009921484292205731,484,0
detailed and,0.009811949116839297,485,0
vibrant colors,0.00722098612074943,486,0
fine,0.00678137999517941,487,0
evil,0.00665979533342008,488,0
high detail,0.006608364950157855,489,0
beeple,0.006188855587267401,490,0
hyper,0.0058283010814493075,491,0
illumination,0.005765847973847654,492,0
4k,0.005036597003172065,493,0
octane render,0.004390762149561493,494,0
on canvas,0.004350817302720972,495,0
cyborg,0.004227780756194252,496,0
two,0.004208580473282322,497,0
of field,0.004052876353256117,498,0
surrounded by,0.00386253760470837,499,0
matte,0.0036717340173985165,500,0
retro,0.003242676028866221,501,0
golden ratio,0.003188255629188444,502,0
jesper,0.0021215083103465785,503,0
jesper ejsing,0.0021215083103465785,504,0
ejsing,0.0021215083103465785,505,0
front,0.0015386877324479668,506,0
mumford,0.0013841019904515975,507,0
dan mumford,0.0013841019904515975,508,0
inspired,0.000591129462577907,509,0
quality,0.0005117199174383865,510,0
painted by,0.00010422838084116669,511,0
surreal,5.193440642610828e-05,512,0
