feature,f_score,rank,selected,vimp_cov,delta,abs_delta,sign,mean_early,mean_late,score_blend,blend_rank
intricate elegant,36.93164411748986,16,1,0.002109608280735811,-0.001170191935880741,0.001170191935880741,-1,0.005813666021591851,0.00464347408571111,0.7708333333333334,59
as,1.8503612871128616,220,0,0.001865175108555162,-0.004963991188037628,0.004963991188037628,-1,0.024204387593142546,0.019240396405104918,0.7682291666666666,60
concept,6.480152560476097,113,0,0.002563739642324102,0.0015254166167529663,0.0015254166167529663,1,0.01931312191278388,0.020838538529536845,0.7682291666666666,61
on,1.070898993647365,261,0,0.005392923275498676,-0.0023451472220922948,0.0023451472220922948,-1,0.03822608110930937,0.035880933887217074,0.763671875,62
artstation concept,15.45276435166213,59,0,0.002303980461580576,-0.0012807993177242107,0.0012807993177242107,-1,0.008476840766533442,0.007196041448809231,0.7630208333333334,63
shot,3.558444168822985,159,0,0.001647689218566551,0.002305783688959782,0.002305783688959782,1,0.008753616053929674,0.011059399742889456,0.76171875,64
composition,0.6823815693051152,298,0,0.003617581895535896,0.0038770475517139946,0.0038770475517139946,1,0.0042339593022852,0.008111006853999195,0.7532552083333334,65
an,5.635711696643748,120,0,0.0030355247677166775,-0.0013284027706704817,0.0013284027706704817,-1,0.0205850716293079,0.01925666885863742,0.75,66
white,2.659808207984441,180,0,0.003323202626485449,-0.0016946774849133893,0.0016946774849133893,-1,0.0150522006668578,0.01335752318194441,0.7493489583333334,67
masterpiece,3.634559774068175,155,0,0.002521171057729776,0.0016307696272481378,0.0016307696272481378,1,0.008733680783809141,0.01036445041105728,0.748046875,68
light,0.24669888064081885,374,0,0.013681021764093493,0.006689474704252232,0.006689474704252232,1,0.010365283604913551,0.017054758309165783,0.7467447916666666,69
space,4.069054660552183,139,0,0.0009882574732778117,-0.002310811438112189,0.002310811438112189,-1,0.00988271083848191,0.007571899400369721,0.74609375,70
colors,0.4213700528922736,334,0,0.005430627592156316,0.003967328137800224,0.003967328137800224,1,0.007557760965936384,0.011525089103736608,0.74609375,71
at,1.034169126665122,263,0,0.0024271172254033673,-0.0030469599616198464,0.0030469599616198464,-1,0.013780722752657583,0.010733762791037736,0.7447916666666666,72
it,6.072320020304481,115,0,0.0008470109926906406,-0.002229286681663632,0.002229286681663632,-1,0.0054646675676670265,0.0032353808860033947,0.744140625,73
concept art,9.814472609386828,92,0,0.0017552368894947462,0.0014145456388609673,0.0014145456388609673,1,0.01756601105669765,0.018980556695558617,0.7415364583333334,74
