y,batch,user_id,n_list,x_sage_0,x_sage_1,x_sage_2,x_sage_3,x_sage_4,x_sage_5,x_sage_6,x_sage_7,x_sage_8,x_sage_9,x_sage_10,x_sage_11,x_sage_12,x_sage_13,x_sage_14,x_sage_15,x_n_nodes,x_n_edges,x_mean_deg,x_n_cc,x_n_q_seeds,x_seed_frac,x_lcc_frac
0.5,4,6,4,0.425,0.166667,0.55,0.375,0.433333,0.177431,0.545,0.375,0.433333,0.177431,0.545,0.375,0.425694,0.175116,0.550156,0.375,1,0.25,0.166667,0.675,0.708333,0.425,0.375
0,4,7,4,0.45,0.25,0.55,0.4,0.458929,0.280357,0.557202,0.4,0.458929,0.280357,0.557202,0.4,0.461607,0.269544,0.557014,0.4,1,0.375,0.25,0.675,0.75,0.45,0.4
0.75,4,8,4,0.6,0.275,0.55,0.5,0.61875,0.323611,0.566333,0.5,0.61875,0.323611,0.566333,0.5,0.613021,0.302581,0.563094,0.5,1,0.4125,0.275,0.575,1,0.6,0.5
0.5,4,9,4,0.35,0.0916667,0.55,0.275,0.366667,0.104167,0.549583,0.275,0.366667,0.104167,0.549583,0.275,0.359722,0.0972222,0.552361,0.275,1,0.1375,0.0916667,0.775,0.583333,0.35,0.275
0.5,4,10,4,0.5,0.175,0.55,0.4,0.516667,0.191944,0.574042,0.4,0.516667,0.191944,0.574042,0.4,0.510833,0.185208,0.554021,0.4,1,0.2625,0.175,0.65,0.833333,0.5,0.4
0.75,4,11,4,0.675,0.475,0.55,0.625,0.723333,0.519663,0.557417,0.625,0.723333,0.519663,0.557417,0.625,0.69375,0.502635,0.556186,0.625,1,0.7125,0.475,0.4,1.125,0.675,0.625
0.5,4,12,4,0.475,0.216667,0.55,0.4,0.490833,0.243542,0.523833,0.4,0.490833,0.243542,0.523833,0.4,0.480069,0.230463,0.539007,0.4,1,0.325,0.216667,0.65,0.791667,0.475,0.4
0.25,4,13,4,0.225,0.108333,0.55,0.3,0.25,0.125,0.54625,0.3,0.25,0.125,0.54625,0.3,0.23125,0.114583,0.550625,0.3,1,0.1625,0.108333,0.725,0.375,0.225,0.3
1,4,14,4,0.675,0.366667,0.55,0.475,0.675,0.384325,0.543839,0.475,0.675,0.384325,0.543839,0.475,0.675,0.376153,0.547226,0.475,1,0.55,0.366667,0.525,1.125,0.675,0.475
0.75,4,15,4,0.6,0.416667,0.55,0.525,0.634375,0.444792,0.565119,0.525,0.634375,0.444792,0.565119,0.525,0.625,0.436905,0.559224,0.525,1,0.625,0.416667,0.5,1,0.6,0.525
0.5,4,16,4,0.6,0.383333,0.55,0.525,0.6,0.406786,0.561774,0.525,0.6,0.406786,0.561774,0.525,0.6,0.396833,0.555677,0.525,1,0.575,0.383333,0.5,1,0.6,0.525
1,4,17,4,0.575,0.241667,0.55,0.35,0.575,0.241667,0.55,0.35,0.575,0.241667,0.55,0.35,0.575,0.241667,0.55,0.35,1,0.3625,0.241667,0.675,0.958333,0.575,0.35
0.75,4,18,4,0.375,0.266667,0.55,0.425,0.391667,0.277778,0.534583,0.425,0.391667,0.277778,0.534583,0.425,0.383333,0.26875,0.546458,0.425,1,0.4,0.266667,0.625,0.625,0.375,0.425
0.75,4,19,4,0.45,0.216667,0.55,0.45,0.45,0.239583,0.57,0.45,0.45,0.239583,0.57,0.45,0.45,0.227083,0.554444,0.45,1,0.325,0.216667,0.6,0.75,0.45,0.45
