item_id,n_W1,n_W2,cmean_l2,mmd2,po_tau2_mean,r_cmean_l2,r_mmd2,r_po_tau2_mean,rank_score,rank,selected
321071,4,67,24.8029991120502,1.1825531332883428,0.0,36.0,161.0,281.5,159.5,126,1
1641944,8,3,8.73766365864649,1.300721134856643,9.400963663727423e-09,242.0,118.0,119.0,159.66666666666666,127,1
934499,5,29,10.732980161683003,1.4787803475213386,0.0,155.0,43.0,281.5,159.83333333333334,128,1
3663009,3,24,10.076138163857584,1.542451289055764,0.0,175.0,23.0,281.5,159.83333333333334,129,1
2448733,3,26,12.43054640369843,1.3705493109172717,0.0,111.0,87.0,281.5,159.83333333333334,130,1
181144,3,29,11.65775382387865,1.4288829179205387,0.0,132.0,66.0,281.5,159.83333333333334,131,1
2288222,4,32,12.907772848244333,1.343264250842135,0.0,104.0,95.0,281.5,160.16666666666666,132,1
3774164,4,19,9.819224000969085,1.5589555736298202,0.0,183.0,17.0,281.5,160.5,133,1
2724575,8,36,11.707007635507194,1.4183053790878828,0.0,131.0,70.0,281.5,160.83333333333334,134,1
4647166,4,17,10.827080321096851,1.4537562553975787,0.0,151.0,52.0,281.5,161.5,135,1
2572159,4,25,10.971832096177472,1.4404689401749335,0.0,145.0,59.0,281.5,161.83333333333334,136,1
428349,7,26,11.04051030009835,1.4400823602463215,0.0,144.0,60.0,281.5,161.83333333333334,137,1
69988,9,4,9.20171579159684,0.9432746035995675,4.319174907500213e-07,209.0,261.0,18.0,162.66666666666666,138,1
4185970,3,35,16.775339734650277,1.2660031451223772,0.0,76.0,132.0,281.5,163.16666666666666,139,1
3161051,10,89,29.05336189224224,1.1247807183250251,0.0,25.0,184.0,281.5,163.5,140,1
4255891,8,15,9.195645374829002,1.216155789819939,1.9866474736582923e-09,210.0,148.0,133.0,163.66666666666666,141,1
3226857,3,31,13.60242656979471,1.3119769081887307,0.0,99.0,113.0,281.5,164.5,142,1
2345726,3,20,11.931166233095905,0.9398057886490283,1.7105789334097445e-08,121.0,262.0,111.0,164.66666666666666,143,1
1131780,3,51,20.0291979402458,1.2017140258044923,0.0,59.0,154.0,281.5,164.83333333333334,144,1
1666679,3,17,11.88582618246901,1.3602177170966416,0.0,122.0,92.0,281.5,165.16666666666666,145,1
1234519,3,28,11.146093769653186,1.4158359647930172,0.0,143.0,71.0,281.5,165.16666666666666,146,1
3416079,3,8,9.939888272303802,1.4905125412910047,0.0,178.0,38.0,281.5,165.83333333333334,147,1
2070087,9,24,12.027955232505068,1.3321436457589404,0.0,115.0,104.0,281.5,166.83333333333334,148,1
967572,6,14,8.365942603008415,1.1313501175772704,1.0351210440807281e-07,256.0,179.0,66.0,167.0,149,1
