merchant_id,score,n_leaf,rank,dissolve_how,score_col,selected
4239403,5.886403319252968e-06,150,140,sum,tau2,0
3383159,5.655135471999171e-06,104,141,sum,tau2,0
498321,4.9487576237623916e-06,177,142,sum,tau2,0
872698,4.739393553871283e-06,147,143,sum,tau2,0
53521,4.397534690462034e-06,222,144,sum,tau2,0
230418,4.216786188008649e-06,188,145,sum,tau2,0
1613010,4.166886594572957e-06,144,146,sum,tau2,0
2996490,4.036089315543554e-06,220,147,sum,tau2,0
403683,3.2726780480065603e-06,173,148,sum,tau2,0
2370398,3.0589196453109382e-06,120,149,sum,tau2,0
3576787,2.9546930166802783e-06,194,150,sum,tau2,0
3585037,2.8658951194643703e-06,6,151,sum,tau2,0
1415412,2.583566986831062e-06,185,152,sum,tau2,0
3926687,2.428313144862338e-06,4,153,sum,tau2,0
3519220,2.2139526209992274e-06,4,154,sum,tau2,0
4194222,1.9848339025548028e-06,4,155,sum,tau2,0
366512,1.6537879902877246e-06,192,156,sum,tau2,0
